RUN	performance.BasicScript	basicscript	1614651984140	 	3.3.1
USER	Friendly and CLosed Scenario	90	END	1614651986295	1614652002056
REQUEST	35		request_2	1614652001904	1614652002074	OK	 
REQUEST	17		request_2	1614652001873	1614652002075	OK	 
REQUEST	23		request_2	1614652001895	1614652002075	OK	 
USER	Friendly and CLosed Scenario	35	END	1614651986280	1614652002075
USER	Friendly and CLosed Scenario	23	END	1614651986278	1614652002075
USER	Friendly and CLosed Scenario	17	END	1614651986276	1614652002075
REQUEST	71		request_2	1614652001933	1614652002076	OK	 
REQUEST	58		request_2	1614652001876	1614652002076	OK	 
USER	Friendly and CLosed Scenario	58	END	1614651986285	1614652002076
USER	Friendly and CLosed Scenario	71	END	1614651986288	1614652002076
REQUEST	91		request_2	1614652001899	1614652002076	OK	 
USER	Friendly and CLosed Scenario	91	END	1614651986295	1614652002077
REQUEST	14		request_2	1614652001897	1614652002078	OK	 
USER	Friendly and CLosed Scenario	14	END	1614651986274	1614652002079
REQUEST	20		request_2	1614652001899	1614652002088	OK	 
USER	Friendly and CLosed Scenario	20	END	1614651986277	1614652002089
REQUEST	104		request_2	1614652001933	1614652002089	OK	 
REQUEST	81		request_2	1614652001877	1614652002089	OK	 
REQUEST	60		request_2	1614652001898	1614652002089	OK	 
USER	Friendly and CLosed Scenario	81	END	1614651986292	1614652002090
USER	Not Friendly and Open Scenario	104	END	1614651986298	1614652002090
USER	Friendly and CLosed Scenario	60	END	1614651986286	1614652002090
REQUEST	9		request_2	1614652001876	1614652002090	OK	 
USER	Friendly and CLosed Scenario	9	END	1614651986234	1614652002090
REQUEST	54		request_2	1614652001893	1614652002090	OK	 
REQUEST	88		request_2	1614652001935	1614652002090	OK	 
REQUEST	97		request_2	1614652001877	1614652002091	OK	 
USER	Friendly and CLosed Scenario	54	END	1614651986285	1614652002091
USER	Friendly and CLosed Scenario	88	END	1614651986294	1614652002091
REQUEST	45		request_2	1614652001875	1614652002092	OK	 
REQUEST	50		request_2	1614652001877	1614652002092	OK	 
USER	Friendly and CLosed Scenario	97	END	1614651986296	1614652002091
USER	Friendly and CLosed Scenario	45	END	1614651986282	1614652002092
USER	Friendly and CLosed Scenario	50	END	1614651986284	1614652002092
REQUEST	5		request_2	1614652001887	1614652002095	OK	 
USER	Friendly and CLosed Scenario	5	END	1614651986233	1614652002095
REQUEST	78		request_2	1614652001894	1614652002095	OK	 
USER	Friendly and CLosed Scenario	78	END	1614651986291	1614652002096
REQUEST	111		request_2	1614652001934	1614652002096	OK	 
USER	Not Friendly and Open Scenario	111	END	1614651986300	1614652002096
REQUEST	86		request_2	1614652001899	1614652002096	OK	 
USER	Friendly and CLosed Scenario	86	END	1614651986293	1614652002097
REQUEST	72		request_2	1614652001935	1614652002098	OK	 
USER	Friendly and CLosed Scenario	72	END	1614651986289	1614652002099
REQUEST	29		request_2	1614652001874	1614652002101	OK	 
REQUEST	41		request_2	1614652001874	1614652002101	OK	 
REQUEST	1		request_2	1614652001886	1614652002102	OK	 
USER	Friendly and CLosed Scenario	41	END	1614651986281	1614652002101
USER	Friendly and CLosed Scenario	1	END	1614651986231	1614652002102
REQUEST	102		request_2	1614652001905	1614652002104	OK	 
REQUEST	79		request_2	1614652001894	1614652002105	OK	 
USER	Not Friendly and Open Scenario	102	END	1614651986297	1614652002105
USER	Friendly and CLosed Scenario	29	END	1614651986279	1614652002105
USER	Friendly and CLosed Scenario	79	END	1614651986291	1614652002106
REQUEST	19		request_2	1614652001898	1614652002106	OK	 
REQUEST	15		request_2	1614652001932	1614652002106	OK	 
USER	Friendly and CLosed Scenario	19	END	1614651986277	1614652002107
REQUEST	65		request_2	1614652001886	1614652002108	OK	 
USER	Friendly and CLosed Scenario	15	END	1614651986275	1614652002108
USER	Friendly and CLosed Scenario	65	END	1614651986287	1614652002109
REQUEST	6		request_2	1614652001904	1614652002108	OK	 
USER	Friendly and CLosed Scenario	6	END	1614651986233	1614652002110
